Feature,SHAP Importance
col_227,0.5450470094608543
col_205,0.49104504626129053
col_224,0.20672143600224452
col_37,0.15420616457990222
col_150,0.13639370416529215
col_208,0.12444760498278758
col_202,0.08999712351998047
col_126,0.0706600502772923
col_173,0.1344115288658503
col_122,0.14472155968627542
col_36,0.061981563566608604
col_84,0.025639162102715617
col_210,0.11901266206055201
col_80,0.04658939550527607
col_53,0.031247435629170855
col_213,0.039479363737268784
col_107,0.04061085605072494
col_88,0.11360949811694371
col_231,0.06963070347743298
col_219,0.009451095417731821
col_212,0.052388375687439134
col_139,0.03978444277629521
col_153,0.04366033272334121
col_131,0.06387913080788088
col_164,0.02492058576245874
col_133,0.020778103162109512
col_209,0.011688112217256201
col_33,0.021794423875156725
col_86,0.008138939880213069
col_121,0.01508120622751802
col_112,0.02393231006095014
col_38,0.0026875835524477953
col_113,0.0370459689573979
col_216,0.027448561582359615
col_99,0.0018892114791562774
col_35,0.018136532169440087
